"","SurveyCodeICES","longitude","latitude","time","Year","Haul_Code","Vessel_Code","Species_Code","Common_Name","Length_Split","Total_Number_Fish_Per_Hour","Junvenile_Number_Fish_Per_Hour","Adult_Number_Fish_Per_Hour"
"1","IGFS                    ",-9.827,50.379,"2012-01-01T00:00:00Z",2012,"139","EXP","COD","Atlantic Cod",23,0,0,0
"2","IGFS                    ",-8.991,55.799,"2012-01-01T00:00:00Z",2012,"15","EXP","HAD","Haddock",20,243.75,0,243.75
"3","IGFS                    ",-11.081,54.064,"2012-01-01T00:00:00Z",2012,"177","EXP","HAD","Haddock",20,4,0,4
"4","IGFS                    ",-10.806,51.633,"2012-01-01T00:00:00Z",2012,"151","EXP","HER","Herring",17.5,0,0,0
"5","IGFS                    ",-7.117,55.8,"2012-01-01T00:00:00Z",2012,"28","EXP","HKE","European Hake",20,0,0,0
"6","IGFS                    ",-10.446,54.728,"2012-01-01T00:00:00Z",2012,"2","EXP","HOM","Horse Mackerel (Scad)",15,724.67,0,724.67
"7","IGFS                    ",-11.519,52.734,"2012-01-01T00:00:00Z",2012,"163","EXP","HOM","Horse Mackerel (Scad)",15,36,36,0
"8","IGFS                    ",-10.086,50.517,"2012-01-01T00:00:00Z",2012,"138","EXP","JAA","Blue Jack Mackerel ( Blue Scad)",NA,0,0,0
"9","IGFS                    ",-9.165,55.584,"2012-01-01T00:00:00Z",2012,"14","EXP","LBI","Four Spot Megrim",19,0,0,0
"10","IGFS                    ",-11.195,54.267,"2012-01-01T00:00:00Z",2012,"175","EXP","LBI","Four Spot Megrim",19,12,8,4
"11","IGFS                    ",-8.275,51.09,"2012-01-01T00:00:00Z",2012,"104","EXP","SDS","Starry Smoot Hound",NA,0,0,0
"12","IGFS                    ",-9.719,52.923,"2012-01-01T00:00:00Z",2012,"167","EXP","SDS","Starry Smoot Hound",NA,0,0,0
"13","IGFS                    ",-8.763,55.108,"2012-01-01T00:00:00Z",2012,"45","EXP","SMH","Smooth Hound",NA,0,0,0
"14","IGFS                    ",-8.254,51.613,"2012-01-01T00:00:00Z",2012,"118","EXP","SMH","Smooth Hound",NA,0,0,0
"15","IGFS                    ",-9.271,54.322,"2012-01-01T00:00:00Z",2012,"182","EXP","SMH","Smooth Hound",NA,0,0,0
"16","IGFS                    ",-10.078,51.492,"2012-01-01T00:00:00Z",2012,"71","EXP","SPR","Sprat",NA,4,0,0
"17","IGFS                    ",-9.793,51.257,"2012-01-01T00:00:00Z",2012,"73","EXP","LBI","Four Spot Megrim",19,0,0,0
"18","IGFS                    ",-7.04,51.596,"2012-01-01T00:00:00Z",2012,"110","EXP","SPR","Sprat",NA,0,0,0
"19","IGFS                    ",-10.883,53.397,"2012-01-01T00:00:00Z",2012,"173","EXP","SPR","Sprat",NA,0,0,0
"20","IGFS                    ",-5.494,51.464,"2012-01-01T00:00:00Z",2012,"88","EXP","LSD","Lesser Spotted Dogfish",NA,66,0,0
"21","IGFS                    ",-6.671,55.922,"2012-01-01T00:00:00Z",2012,"27","EXP","THR","Thornback Ray (Roker)",NA,2,0,0
"22","IGFS                    ",-7.515,51.585,"2012-01-01T00:00:00Z",2012,"122","EXP","MAC","European Mackerel",24,0,0,0
"23","IGFS                    ",-11.862,53.578,"2012-01-01T00:00:00Z",2012,"161","EXP","THR","Thornback Ray (Roker)",NA,0,0,0
"24","IGFS                    ",-9.644,51.105,"2012-01-01T00:00:00Z",2012,"74","EXP","MEG","Megrim",20,12,2,10
"25","IGFS                    ",-9.165,55.584,"2012-01-01T00:00:00Z",2012,"14","EXP","UNR","Undulate Ray",NA,0,0,0
"26","IGFS                    ",-5.812,51.333,"2012-01-01T00:00:00Z",2012,"90","EXP","UNR","Undulate Ray",NA,0,0,0
"27","IGFS                    ",-5.52,51.271,"2012-01-01T00:00:00Z",2012,"89","EXP","MON","Anglerfish (Monk)",20,2,0,2
"28","IGFS                    ",-7.215,55.98,"2012-01-01T00:00:00Z",2012,"29","EXP","CUR","Cuckoo Ray",NA,2,0,0
"29","IGFS                    ",-7.787,50.884,"2012-01-01T00:00:00Z",2012,"106","EXP","UNR","Undulate Ray",NA,0,0,0
"30","IGFS                    ",-10.199,53.105,"2012-01-01T00:00:00Z",2012,"169","EXP","UNR","Undulate Ray",NA,0,0,0
"31","IGFS                    ",-9.353,50.479,"2012-01-01T00:00:00Z",2012,"102","EXP","GAG","Tope Shark",NA,0,0,0
"32","IGFS                    ",-9.644,51.105,"2012-01-01T00:00:00Z",2012,"74","EXP","HAD","Haddock",20,2,0,2
"33","IGFS                    ",-10.275,50.78,"2012-01-01T00:00:00Z",2012,"137","EXP","HAD","Haddock",20,0,0,0
"34","IGFS                    ",-6.758,52.007,"2012-01-01T00:00:00Z",2012,"111","EXP","HER","Herring",17.5,3764.25,0,3764.25
"35","IGFS                    ",-7.582,55.261,"2012-01-01T00:00:00Z",2012,"36","EXP","WAF","Black-bellied Anglerfish",20,0,0,0
"36","IGFS                    ",-7.04,51.596,"2012-01-01T00:00:00Z",2012,"110","EXP","WAF","Black-bellied Anglerfish",20,0,0,0
"37","IGFS                    ",-10.883,53.397,"2012-01-01T00:00:00Z",2012,"173","EXP","WAF","Black-bellied Anglerfish",20,4,0,4
"38","IGFS                    ",-10.318,52.549,"2012-01-01T00:00:00Z",2012,"62","EXP","WHB","Blue Whiting",19,0,0,0
"39","IGFS                    ",-7.504,51.49,"2012-01-01T00:00:00Z",2012,"125","EXP","WHB","Blue Whiting",19,0,0,0
