"","Cruise","Haul","Yr","LonDec","LatDec","ICESCODE","Validity","AreaKmSq","Species","CatchKg","RaisedNo"
"1","IGFS2005",1,2005,-11.664,53.953,"VIIb","V",0.435834535963303,"BOF",2.447,40
"2","IGFS2005",1,2005,-11.664,53.953,"VIIb","V",0.435834535963303,"HOM",0.275,1
"3","IGFS2005",1,2005,-11.664,53.953,"VIIb","V",0.435834535963303,"MEG",0.87,14
"4","IGFS2005",1,2005,-11.664,53.953,"VIIb","V",0.435834535963303,"WHB",42.697,548.661
"5","IGFS2005",2,2005,-11.884,53.951,"VIIb","V",0.344676986487798,"BOF",0.992,17
"6","IGFS2005",2,2005,-11.884,53.951,"VIIb","V",0.344676986487798,"MEG",0.191,3
"7","IGFS2005",2,2005,-11.884,53.951,"VIIb","V",0.344676986487798,"POK",1.31,1
"8","IGFS2005",2,2005,-11.884,53.951,"VIIb","V",0.344676986487798,"WHB",53.88,639.255
"9","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"BOF",2.434,40
"10","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"GUG",0.772,2
"11","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"HAD",11.48,32
"12","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"HOM",8.17,35
"13","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"LSD",1.39,2
"14","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"MAC",0.283,1
"15","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"MEG",4.989,64
"16","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"MON",3.87,1
"17","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"POD",11.18,185.646
"18","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"SDR",1.34,1
"19","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"THR",5.29,2
"20","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"WHB",266.83,5048.927
"21","IGFS2005",3,2005,-11.366,53.697,"VIIb","V",0.370182545713053,"WHG",3.53,6
"22","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"BOF",4.042,69
"23","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"HAD",34.612,111
"24","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"HOM",7.4,31
"25","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"LSD",4.098,4
"26","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"MAC",0.563,1
"27","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"MEG",0.29,7
"28","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"MON",6.65,2
"29","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"POD",9.917,186.611
"30","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"THR",3.91,1
"31","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"WHB",88.133,3195.42
"32","IGFS2005",4,2005,-11.544,53.581,"VIIb","V",0.456821338210509,"WHG",1.816,3
"33","IGFS2005",5,2005,-11.832,53.583,"VIIb","V",0.436183372341699,"BOF",24.14,405.148
"34","IGFS2005",5,2005,-11.832,53.583,"VIIb","V",0.436183372341699,"DAB",0.146,1
"35","IGFS2005",5,2005,-11.832,53.583,"VIIb","V",0.436183372341699,"GUG",1.068,15.706
"36","IGFS2005",5,2005,-11.832,53.583,"VIIb","V",0.436183372341699,"HAD",0.405,1
"37","IGFS2005",5,2005,-11.832,53.583,"VIIb","V",0.436183372341699,"HOM",3.73,17
