"","Cruise","Yr","LonDec","LatDec","ICESCODE","TotalCatch"
"1","IGFS2005",2005,-11.664,53.953,"VIIb",40515.991
"5","IGFS2005",2005,-11.884,53.951,"VIIb",40515.991
"9","IGFS2005",2005,-11.366,53.697,"VIIb",40515.991
"22","IGFS2005",2005,-11.544,53.581,"VIIb",40515.991
"33","IGFS2005",2005,-11.832,53.583,"VIIb",40515.991
"41","IGFS2005",2005,-11.628,53.688,"VIIb",40515.991
"48","IGFS2005",2005,-11.917,53.763,"VIIb",40515.991
"53","IGFS2005",2005,-12.146,52.064,"VIIk",40515.991
"56","IGFS2005",2005,-12.06,52.239,"VIIk",40515.991
"59","IGFS2005",2005,-12.187,52.357,"VIIk",40515.991
"63","IGFS2005",2005,-12.169,52.559,"VIIc",40515.991
"67","IGFS2005",2005,-12.298,52.721,"VIIc",40515.991
"72","IGFS2005",2005,-12.41,52.974,"VIIc",40515.991
"78","IGFS2005",2005,-12.841,52.908,"VIIc",40515.991
"82","IGFS2005",2005,-12.57,53.15,"VIIc",40515.991
"88","IGFS2005",2005,-8.256,51.645,"VIIg",40515.991
"103","IGFS2005",2005,-7.855,51.618,"VIIg",40515.991
"118","IGFS2005",2005,-7.384,52.027,"VIIa",40515.991
"134","IGFS2005",2005,-7.25,51.679,"VIIg",40515.991
"150","IGFS2005",2005,-7.087,51.804,"VIIg",40515.991
"165","IGFS2005",2005,-6.759,52.008,"VIIa",40515.991
"182","IGFS2005",2005,-6.492,51.732,"VIIg",40515.991
"202","IGFS2005",2005,-6.475,51.592,"VIIg",40515.991
"216","IGFS2005",2005,-5.868,51.75,"VIIg",40515.991
"229","IGFS2005",2005,-6.187,51.62,"VIIg",40515.991
"243","IGFS2005",2005,-6.016,51.402,"VIIg",40515.991
"256","IGFS2005",2005,-5.802,51.086,"VIIg",40515.991
"274","IGFS2005",2005,-5.958,51.212,"VIIg",40515.991
"285","IGFS2005",2005,-6.708,51.365,"VIIg",40515.991
"300","IGFS2005",2005,-6.334,51.243,"VIIg",40515.991
"311","IGFS2005",2005,-6.6,51.218,"VIIg",40515.991
"321","IGFS2005",2005,-7.431,51.332,"VIIg",40515.991
"335","IGFS2005",2005,-7.616,50.646,"VIIg",40515.991
"342","IGFS2005",2005,-7.34,50.65,"VIIg",40515.991
"354","IGFS2005",2005,-8.735,51.262,"VIIg",40515.991
"366","IGFS2005",2005,-8.539,51.204,"VIIg",40515.991
"378","IGFS2005",2005,-8.259,51.095,"VIIg",40515.991
"388","IGFS2005",2005,-8.063,51.246,"VIIg",40515.991
"400","IGFS2005",2005,-8.908,50.623,"VIIg",40515.991
"412","IGFS2005",2005,-8.612,50.566,"VIIg",40515.991
"424","IGFS2005",2005,-8.244,50.625,"VIIg",40515.991
"436","IGFS2005",2005,-7.887,50.703,"VIIg",40515.991
"449","IGFS2005",2005,-7.634,50.989,"VIIg",40515.991
"463","IGFS2005",2005,-9.221,50.756,"VIIj",40515.991
"479","IGFS2005",2005,-9.463,50.605,"VIIj",40515.991
"493","IGFS2005",2005,-9.645,50.523,"VIIj",40515.991
"506","IGFS2005",2005,-10.049,50.507,"VIIj",40515.991
"514","IGFS2005",2005,-9.927,50.749,"VIIj",40515.991
"524","IGFS2005",2005,-9.814,50.836,"VIIj",40515.991
"535","IGFS2005",2005,-9.417,51.413,"VIIj",40515.991
"549","IGFS2005",2005,-9.642,51.457,"VIIj",40515.991
"563","IGFS2005",2005,-10.027,51.517,"VIIj",40515.991
"579","IGFS2005",2005,-9.786,51.356,"VIIj",40515.991
"596","IGFS2005",2005,-9.934,51.17,"VIIj",40515.991
"611","IGFS2005",2005,-9.595,51.127,"VIIj",40515.991
"626","IGFS2005",2005,-9.276,51.117,"VIIj",40515.991
"639","IGFS2005",2005,-9.254,50.982,"VIIj",40515.991
"651","IGFS2005",2005,-10.932,50.292,"VIIj",40515.991
"660","IGFS2005",2005,-11.098,50.267,"VIIj",40515.991
"664","IGFS2005",2005,-10.9,50.516,"VIIj",40515.991
"671","IGFS2005",2005,-10.635,50.577,"VIIj",40515.991
"680","IGFS2005",2005,-10.582,50.378,"VIIj",40515.991
"688","IGFS2005",2005,-11.01,50.706,"VIIj",40515.991
"694","IGFS2005",2005,-10.744,50.717,"VIIj",40515.991
"704","IGFS2005",2005,-10.849,50.845,"VIIj",40515.991
"714","IGFS2005",2005,-10.415,50.87,"VIIj",40515.991
"723","IGFS2005",2005,-10.233,51.017,"VIIj",40515.991
"736","IGFS2005",2005,-10.204,51.691,"VIIj",40515.991
"753","IGFS2005",2005,-10.497,51.669,"VIIj",40515.991
"772","IGFS2005",2005,-10.827,51.654,"VIIj",40515.991
"786","IGFS2005",2005,-10.878,52.774,"VIIb",40515.991
"801","IGFS2005",2005,-10.74,52.663,"VIIb",40515.991
"814","IGFS2005",2005,-10.337,52.519,"VIIb",40515.991
"831","IGFS2005",2005,-10.105,52.58,"VIIb",40515.991
"845","IGFS2005",2005,-9.819,52.544,"VIIb",40515.991
"856","IGFS2005",2005,-11.351,52.187,"VIIj",40515.991
"869","IGFS2005",2005,-11.197,52.056,"VIIj",40515.991
"883","IGFS2005",2005,-10.93,52.031,"VIIj",40515.991
"894","IGFS2005",2005,-10.766,51.846,"VIIj",40515.991
"919","IGFS2005",2005,-11.106,51.604,"VIIj",40515.991
"929","IGFS2005",2005,-11.389,51.607,"VIIj",40515.991
"939","IGFS2005",2005,-11.653,51.704,"VIIj",40515.991
"943","IGFS2005",2005,-11.527,51.896,"VIIj",40515.991
"948","IGFS2005",2005,-11.802,51.982,"VIIj",40515.991
"952","IGFS2005",2005,-9.393,53.191,"VIIb",40515.991
"969","IGFS2005",2005,-10.189,53.073,"VIIb",40515.991
"987","IGFS2005",2005,-10.242,53.295,"VIIb",40515.991
"1002","IGFS2005",2005,-10.77,53.114,"VIIb",40515.991
"1018","IGFS2005",2005,-10.887,53.393,"VIIb",40515.991
"1036","IGFS2005",2005,-9.625,52.769,"VIIb",40515.991
"1052","IGFS2005",2005,-9.674,53.035,"VIIb",40515.991
"1071","IGFS2005",2005,-9.966,52.953,"VIIb",40515.991
"1089","IGFS2005",2005,-10.408,52.914,"VIIb",40515.991
"1105","IGFS2005",2005,-10.893,53.058,"VIIb",40515.991
"1121","IGFS2005",2005,-11.056,52.887,"VIIb",40515.991
"1139","IGFS2005",2005,-11.183,53.955,"VIIb",40515.991
"1149","IGFS2005",2005,-10.737,53.762,"VIIb",40515.991
"1165","IGFS2005",2005,-10.585,53.898,"VIIb",40515.991
"1185","IGFS2005",2005,-10.384,53.693,"VIIb",40515.991
"1200","IGFS2005",2005,-10.701,54.141,"VIIb",40515.991
"1216","IGFS2005",2005,-11.001,54.246,"VIIb",40515.991
"1226","IGFS2005",2005,-11.223,54.162,"VIIb",40515.991
"1232","IGFS2005",2005,-11.052,53.832,"VIIb",40515.991
"1249","IGFS2005",2005,-9.402,54.972,"VIa",40515.991
"1261","IGFS2005",2005,-9.002,55.081,"VIa",40515.991
"1277","IGFS2005",2005,-9.103,56.228,"VIa",40515.991
"1297","IGFS2005",2005,-8.865,56.008,"VIa",40515.991
"1313","IGFS2005",2005,-8.993,55.817,"VIa",40515.991
