"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","AreaKmSq","CatchKg","RaisedNo"
"1","IGFS2009",2009,2,-9.711,54.502,"VIa",4.20046915850922,594.209,5999.378
"2","IGFS2011",2011,19,-9.666,54.505,"VIa",5.53557269487589,497.808,2845.185
"3","IGFS2006",2006,78,-8.584,54.518,"VIa",2.78649600063115,104.537,2036.609
"4","IGFS2007",2007,58,-8.583,54.518,"VIa",3.72243756093452,416.843,5693.001
"5","IGFS2005",2005,144,-8.536,54.518,"VIa",4.46526067806691,190.855,5916.696
"6","IGFS2013",2013,43,-8.533,54.519,"VIa",2.74032263192432,1351.028,11299.813
"7","IGFS2011",2011,16,-8.529,54.519,"VIa",3.82590123187972,272.648,2673.893
"8","IGFS2009",2009,6,-8.52,54.519,"VIa",4.28243340920103,114.962,3955.059
"9","IGFS2016",2016,6,-8.517,54.519,"VIa",3.3168892608716,623.719,17686.622
"10","IGFS2014",2014,6,-8.51,54.519,"VIa",3.62420656974322,630.189,8077.918
"11","IGFS2008",2008,3,-8.549,54.52,"VIa",3.45166415186238,163.234,2659.562
"12","IGFS2010",2010,51,-8.517,54.52,"VIa",4.31338391140234,263.488,2994.035
"13","IGFS2011",2011,1,-10.327,54.522,"VIa",6.86522790065934,792.748,61346.726
"14","IGFS2011",2011,2,-10.021,54.527,"VIa",6.60525660702269,399.015,3280.334
"15","IGFS2014",2014,1,-10.321,54.532,"VIa",6.54143293993682,2788.348,40340.704
"16","IGFS2013",2013,44,-8.897,54.54,"VIa",4.11214020806946,156.39,2916.481
"17","IGFS2015",2015,1,-10.303,54.546,"VIa",7.66956100187332,1093.124,24475.934
"18","IGFS2012",2012,7,-9.586,54.549,"VIa",8.29667424807929,548.754,2230.198
"19","IGFS2009",2009,7,-8.823,54.555,"VIa",5.62620335970066,334.433,6681.189
"20","IGFS2015",2015,49,-8.815,54.557,"VIa",4.96567193998644,1956.258,12968.263
"21","IGFS2013",2013,49,-10.288,54.562,"VIa",5.29253794999607,374.68,7252.849
"22","IGFS2012",2012,5,-8.711,54.568,"VIa",4.4852324414846,1214.244,7265.735
"23","IGFS2008",2008,2,-8.396,54.568,"VIa",3.44232531794851,131.848,2041.874
"24","IGFS2006",2006,79,-8.392,54.57,"VIa",4.680569824737,263.437,7559.39
"25","IGFS2017",2017,1,-10.612,54.578,"VIa",6.5046283133778,120.905,122
"26","IGFS2010",2010,2,-10.612,54.579,"VIa",3.79566406050604,205.993,2324.928
