fldPrimeStation,Yr,LonDec,LatDec,ARG,BLR,BOF,COD,CUR,DAB,DFL,DGS,DII,ESB,GSS,GUG,HAD,HER,HKE,HOM,JOD,LBI,LSD,MAC,MEG,MON,NOP,PLE,POD,POK,POL,PTR,SAR,SDR,SHR,SKT,SOL,SPR,THR,UNR,WAF,WHB,WHG,CatchKg
FG37,2004,-7.783,51.336,6.93,0,0.106,2.72,0,2.58,0,0,0,0,0,1.152,62.5,0,4.123,0.988,0.411,0,2.219,0.338,1.714,5.48,34.317,0.538,29.793,0,0,0,0,0,0,0,0,0.678,0,0,0,0.444,51.58,208.611
56,2008,-10.188,53.074,0,0,0,0,0,0.045,0,0,0,0,0,0.234,2.086,0,4.64,0.399,0,0,10.42,0,0.416,0,0.901,0,0.918,0,0,0,0,0,0,0,0,0.053,0,0,4.99,5.824,17.13,48.056
FG72,2005,-11.653,51.704,0,0,0,0,0,0,0,0,0,0,1.851,0.075,0,0,16.248,0.216,0,1.485,0,0,1.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.62,0,70.833
FG30,2009,-10.55,50.347,0,0,9.36,0,3.402,0,0,0,0,0,1.354,0.313,1.5,0,4.21,0.213,8.64,0.727,0,0.693,5.41,0.246,0.088,0,10.867,0,1.737,0,0,0,0,0,0,0,0,0,4.256,236.767,0,289.783
103,2003,-3.79,53.97,0,0,0,1.02,0,2.069,0,0,0,0,0,38.46,1.094,0.196,0,0,0.043,0,0.82,0.115,0,0,0,27.17,0.392,0,0,0,0,0,0,0,0.472,6.74,0.85,0,0,0,47.988,127.429
FG55,2005,-9.463,50.605,0,0,12.389,16.56,3.952,0,0,0,0,0,0,0.125,110.49,0,1.727,0.105,11.59,0,0,0.194,0.8,0,8.745,0,136.15,1.078,0,0,0,0,0,0,0,0,0,0,0,5.529,8.18,317.614
MB52,2012,-9.373,53.108,0,0,0,0,0,13.456,0,0,0,0,0,3.18,24.812,0.146,8.812,0.022,0,0,0,0,0.88,0,0.01,0,0.633,0,0,0,0,9.28,0,0,0,0.84,17.42,0,0,0,148.507,227.998
MB22,2004,-5.273,54.516,0,0,0,8.98,1.4,0,0,0,0,0,0,1.06,4.552,0.28,0.32,0,0.24,0,5.54,0,0,2.1,8.26,0,10.084,0,0,0,0,1.68,0,0,0.46,0.674,0,0,0,1.112,25.809,72.551
FG73,2008,-11.403,51.783,0,0,2.159,0,0,0,0,0,0,0,2.125,1.259,32.601,0,10.278,0.942,0,1.742,1.7,0.254,5.475,0,0,0,7.05,0,0,0,0,0,0,0.123,0,0,0,0,0.922,37.607,0.396,104.633
12,2003,-8.493,55.387,0,0,0.043,0,2.32,0.08,0,3.12,0,0,0,4.62,88.21,3.07,0.64,4.98,6.24,0,21.63,9.9,0.66,2.83,0,0.62,0,0,0,0,0,0,0,0,0.97,0,5.24,0,0,0.55,391.112,72.745
12,2003,-8.493,55.387,0,0,0.043,0,2.32,0.08,0,3.12,0,0,0,4.62,88.21,3.07,0.64,4.98,6.24,0,21.63,9.9,0.66,2.83,0,0.62,0,0,0,0,0,0,0,0,0.97,0,5.24,0,0,0.55,391.112,546.835
