"Species","Data","Parameter","Year","Cohort","Linf","K","t0","Level"
"COD","All data","None",NA,"No","249.139263446598","0.0803622698395831","-0.506160728961331",NA
"HAD","All data","None",NA,"No","54.0575741488522","0.347718383978582","-0.354226037365824",NA
"MEG","All data","None",NA,"No","56.1045605398971","0.099837732881274","-2.37046745354711",NA
"PLE","All data","None",NA,"No",NA,NA,NA,NA
"POK","All data","None",NA,"No","154.003815883222","0.0672447247788229","-1.78183980452832",NA
"POL","All data","None",NA,"No","100.739985538834","0.117409529128734","-1.91346565268291",NA
"SOL","All data","None",NA,"No",NA,NA,NA,NA
"WHG","All data","None",NA,"No","50.7731875338023","0.26090049101762","-1.261590845333",NA
"COD","All female data","Sex",NA,"No","195.078082730466","0.11352156557108","-0.368451447494648","female"
"COD","All male data","Sex",NA,"No",NA,NA,NA,"male"
"HAD","All female data","Sex",NA,"No","54.016235285255","0.371197539949692","-0.293129500370992","female"
"HAD","All male data","Sex",NA,"No","53.5910292036909","0.311373214371456","-0.523167772089267","male"
"MEG","All female data","Sex",NA,"No","54.5487660085346","0.112051481890443","-2.45982166110316","female"
"MEG","All male data","Sex",NA,"No","44.8938446114442","0.0944436370612069","-3.47150560175041","male"
"PLE","All female data","Sex",NA,"No","45.1046103507261","0.102443183857639","-4.78684913433144","female"
"PLE","All male data","Sex",NA,"No","29.9996203401818","0.229548555781123","-3.96962199917156","male"
"POK","All female data","Sex",NA,"No","156.715802517366","0.0653368484374727","-1.8619420234679","female"
"POK","All male data","Sex",NA,"No","149.65569995705","0.0706932127863709","-1.65827871362846","male"
"POL","All female data","Sex",NA,"No","107.801722468208","0.106266638017646","-2.0136984785702","female"
"POL","All male data","Sex",NA,"No","81.807876404592","0.181390049300038","-1.22112295079075","male"
"SOL","All female data","Sex",NA,"No",NA,NA,NA,"female"
"SOL","All male data","Sex",NA,"No",NA,NA,NA,"male"
"WHG","All female data","Sex",NA,"No","50.9303576326989","0.307131395086357","-0.939372849540836","female"
"WHG","All male data","Sex",NA,"No","43.5094751057076","0.271787198577019","-1.67517788830953","male"
"COD","All Jackson BT 195 Monk Trawl data","Gear",NA,"No","249.139263446598","0.0803622698395831","-0.506160728961331","Jackson BT 195 Monk Trawl"
"HAD","All Jackson BT 195 Monk Trawl data","Gear",NA,"No","54.0575741488522","0.347718383978582","-0.354226037365824","Jackson BT 195 Monk Trawl"
"MEG","All Jackson BT 195 Monk Trawl data","Gear",NA,"No","56.1045605398971","0.099837732881274","-2.37046745354711","Jackson BT 195 Monk Trawl"
"PLE","All Jackson BT 195 Monk Trawl data","Gear",NA,"No",NA,NA,NA,"Jackson BT 195 Monk Trawl"
