"Species","Data","Parameter","Year","Cohort","Linf","K","t0","Level"
"COD","All data","None",NA,"No","150.308594519221","0.19252072310891","-0.57885276324716",NA
"DGS","All data","None",NA,"No","80.7737719099369","0.285458048114702","-0.494991870859428",NA
"HAD","All data","None",NA,"No","48.7349541132953","0.372664316552528","-1.20175180392012",NA
"HER","All data","None",NA,"No","29.5970548621961","0.516505004118814","-1.27836870154439",NA
"HOM","All data","None",NA,"No","35.3152283057137","0.266802056549056","-1.3715736798721",NA
"MAC","All data","None",NA,"No","35.484368549495","0.49488230102379","-1.67881023461674",NA
"MEG","All data","None",NA,"No","54.3108394835358","0.114155089108119","-2.21579416379596",NA
"PLE","All data","None",NA,"No","36.5591966538447","0.253075597921699","-1.98040484725967",NA
"POK","All data","None",NA,"No",NA,NA,NA,NA
"POL","All data","None",NA,"No","88.6436752952521","0.145344956711469","-2.65356872854674",NA
"SOL","All data","None",NA,"No","33.1484721105262","0.310894106533517","-2.00156312267631",NA
"WHB","All data","None",NA,"No","33.5407633914847","0.332345865400603","-2.32720781405657",NA
"WHG","All data","None",NA,"No","47.0086589825524","0.372898865573383","-1.2437549260246",NA
"COD","All female data","Sex",NA,"No","147.787136447154","0.203329864704467","-0.522653743114307","female"
"COD","All male data","Sex",NA,"No","143.981292273752","0.198535642585065","-0.611779803776824","male"
"DGS","All female data","Sex",NA,"No",NA,NA,NA,"female"
"DGS","All male data","Sex",NA,"No","78.3684192043701","0.333521378456478","-0.231905222533761","male"
"HAD","All female data","Sex",NA,"No","50.1413005938635","0.381084704782475","-1.17243792198215","female"
"HAD","All male data","Sex",NA,"No","46.135017276373","0.344153435372556","-1.47315655638667","male"
"HER","All female data","Sex",NA,"No","30.1726443922257","0.441070460163058","-1.65016070291688","female"
"HER","All male data","Sex",NA,"No","29.5320242205652","0.487145442991562","-1.4893083185092","male"
"HOM","All female data","Sex",NA,"No","36.7386541277981","0.194742115423341","-2.52378197555226","female"
"HOM","All male data","Sex",NA,"No","36.7726183876041","0.188599028184622","-2.68356544150339","male"
"MAC","All female data","Sex",NA,"No","36.2563993398738","0.421857724082003","-2.02674329836694","female"
"MAC","All male data","Sex",NA,"No","35.3458885493914","0.490644140877778","-1.75411189056733","male"
"MEG","All female data","Sex",NA,"No","52.7093101451611","0.13296601267044","-2.1193729068215","female"
"MEG","All male data","Sex",NA,"No","33.4457490180482","0.220711306044152","-1.82194001783315","male"
"PLE","All female data","Sex",NA,"No","38.9629072612567","0.244721709690146","-1.87673305419713","female"
"PLE","All male data","Sex",NA,"No","29.1989480968518","0.446335926640708","-1.3395856228589","male"
"POK","All female data","Sex",NA,"No","645.980463491151","0.0116784402263787","-3.37054018009788","female"
"POK","All male data","Sex",NA,"No",NA,NA,NA,"male"
"POL","All female data","Sex",NA,"No","106.53323558457","0.0982501224215097","-3.43924568051701","female"
"POL","All male data","Sex",NA,"No","72.0086164545194","0.244868867564547","-1.7753360113286","male"
"SOL","All female data","Sex",NA,"No","38.0665894039667","0.253171851345252","-2.11625994111961","female"
"SOL","All male data","Sex",NA,"No","30.1474511185669","0.292418643075404","-2.76197884743724","male"
"WHB","All female data","Sex",NA,"No","35.5020654058815","0.294616947584859","-2.53230841431521","female"
"WHB","All male data","Sex",NA,"No",NA,NA,NA,"male"
"WHG","All female data","Sex",NA,"No","51.5980309837868","0.334822856989771","-1.3052826712047","female"
"WHG","All male data","Sex",NA,"No","40.4721617110071","0.390772454274004","-1.56461683980597","male"
"COD","All GOV 3647 Groundgear A data","Gear",NA,"No","135.333237950286","0.257531524561566","-0.374669958068172","GOV 3647 Groundgear A"
"COD","All GOV 3647 Groundgear D data","Gear",NA,"No","118.751465341227","0.221849199310864","-0.740896814054162","GOV 3647 Groundgear D"
"DGS","All GOV 3647 Groundgear A data","Gear",NA,"No","83.275217689694","0.243997201143906","-0.835298810137847","GOV 3647 Groundgear A"
"DGS","All GOV 3647 Groundgear D data","Gear",NA,"No","74.8122670495494","0.262536008085924","-2.86905376502495","GOV 3647 Groundgear D"
"HAD","All GOV 3647 Groundgear A data","Gear",NA,"No","53.2150786923025","0.330083613394436","-1.22708638855227","GOV 3647 Groundgear A"
"HAD","All GOV 3647 Groundgear D data","Gear",NA,"No","45.6337684709688","0.346936077523723","-1.38082963405681","GOV 3647 Groundgear D"
"HER","All GOV 3647 Groundgear A data","Gear",NA,"No","29.0244116384012","0.510106665323792","-1.34039821949189","GOV 3647 Groundgear A"
"HER","All GOV 3647 Groundgear D data","Gear",NA,"No","29.7802003339924","0.557967521614249","-1.14316259182013","GOV 3647 Groundgear D"
"HOM","All GOV 3647 Groundgear A data","Gear",NA,"No","35.9440733147793","0.257630337373084","-1.39903029694081","GOV 3647 Groundgear A"
"HOM","All GOV 3647 Groundgear D data","Gear",NA,"No","34.047984682627","0.297169240868416","-1.22164471305216","GOV 3647 Groundgear D"
"MAC","All GOV 3647 Groundgear A data","Gear",NA,"No","34.5855072693306","0.554895007898492","-1.55584746454085","GOV 3647 Groundgear A"
"MAC","All GOV 3647 Groundgear D data","Gear",NA,"No","36.3747081383392","0.448179965043829","-1.78735089035539","GOV 3647 Groundgear D"
"MEG","All GOV 3647 Groundgear A data","Gear",NA,"No","54.1472722906643","0.115158568495234","-2.18352571175941","GOV 3647 Groundgear A"
"MEG","All GOV 3647 Groundgear D data","Gear",NA,"No","56.7137100551211","0.100455730947421","-2.6858608903791","GOV 3647 Groundgear D"
"PLE","All GOV 3647 Groundgear A data","Gear",NA,"No","39.3534307044708","0.212434316498266","-2.3582935109343","GOV 3647 Groundgear A"
"PLE","All GOV 3647 Groundgear D data","Gear",NA,"No","34.0253276131786","0.274255387017054","-1.85333032313925","GOV 3647 Groundgear D"
"POK","All GOV 3647 Groundgear A data","Gear",NA,"No",NA,NA,NA,"GOV 3647 Groundgear A"
"POK","All GOV 3647 Groundgear D data","Gear",NA,"No","126.037573044574","0.0858067250016022","-2.34494661685614","GOV 3647 Groundgear D"
"POL","All GOV 3647 Groundgear A data","Gear",NA,"No","72.6816971356745","0.325331999833754","-1.04188812955779","GOV 3647 Groundgear A"
"POL","All GOV 3647 Groundgear D data","Gear",NA,"No",NA,NA,NA,"GOV 3647 Groundgear D"
"SOL","All GOV 3647 Groundgear A data","Gear",NA,"No","34.5802209837796","0.2553943623256","-2.5558897916452","GOV 3647 Groundgear A"
"SOL","All GOV 3647 Groundgear D data","Gear",NA,"No","31.528289824451","0.362895833047846","-1.34895024211281","GOV 3647 Groundgear D"
"WHB","All GOV 3647 Groundgear A data","Gear",NA,"No","32.5295842011474","0.357401526086373","-2.25917755782656","GOV 3647 Groundgear A"
"WHB","All GOV 3647 Groundgear D data","Gear",NA,"No","35.1557352445217","0.307237330586536","-2.3807853297145","GOV 3647 Groundgear D"
"WHG","All GOV 3647 Groundgear A data","Gear",NA,"No","51.4641615559626","0.325631996537048","-1.29519696561626","GOV 3647 Groundgear A"
"WHG","All GOV 3647 Groundgear D data","Gear",NA,"No","39.3247373722047","0.527264865344379","-1.01037912460365","GOV 3647 Groundgear D"
"COD","All VIa data","Division",NA,"No","118.982702446814","0.220955900744308","-0.743375514035472","VIa"
"COD","All VIIb data","Division",NA,"No","140.480306225394","0.188313487756594","-0.819875584148116","VIIb"
"COD","All VIIc data","Division",NA,"No","122.133333333333","0.239229689065835","-1.11518697511934","VIIc"
"COD","All VIIg data","Division",NA,"No","135.192890910088","0.263764674641022","-0.31396020336953","VIIg"
"COD","All VIIj data","Division",NA,"No","125.638930427511","0.296087121249676","-0.422941911297461","VIIj"
"COD","All VIIk data","Division",NA,"No",NA,NA,NA,"VIIk"
"DGS","All VIa data","Division",NA,"No","74.8122670495494","0.262536008085924","-2.86905376502495","VIa"
"DGS","All VIIb data","Division",NA,"No","75.1280276978054","0.799246811547978","2.77917124986739","VIIb"
"DGS","All VIIg data","Division",NA,"No","85.0551767945289","0.233415003973647","-0.868768421920918","VIIg"
"DGS","All VIIj data","Division",NA,"No",NA,NA,NA,"VIIj"
"HAD","All VIa data","Division",NA,"No","45.617645206355","0.347326419330618","-1.37681698072478","VIa"
"HAD","All VIIb data","Division",NA,"No","49.7627461753506","0.286872712029462","-1.47960827027654","VIIb"
