"","Cruise","Yr","LonDec","LatDec","ICESCODE","AreaKmSq","Species","RaisedNo","TotalCatch"
"1","IGFS2003",2003,-10.863,53.747,"VIIb",0.475235353932886,"ARG",287.757,45049.485
"19","IGFS2003",2003,-11.069,53.811,"VIIb",0.516236664344677,"BOF",64,45049.485
"33","IGFS2003",2003,-9.649,54.776,"VIa",0.413609756518476,"BOF",1,45049.485
"48","IGFS2003",2003,-9.398,54.967,"VIa",0.341659195919084,"BOF",2,45049.485
"61","IGFS2003",2003,-9.558,55.109,"VIa",0.338546506265587,"BOF",5,45049.485
"78","IGFS2003",2003,-9.101,55.735,"VIa",0.350123758774164,"BOF",7308.713,45049.485
"92","IGFS2003",2003,-8.912,55.651,"VIa",0.291949254717518,"BOF",39,45049.485
"106","IGFS2003",2003,-9.166,55.612,"VIa",0.340070591940974,"BOF",1455.46,45049.485
"117","IGFS2003",2003,-9.253,55.43,"VIa",0.311791610137284,"BOF",40,45049.485
"130","IGFS2003",2003,-9.297,55.357,"VIa",0.386416607169574,"BOF",15,45049.485
"144","IGFS2003",2003,-8.326,56.315,"VIa",0.28958589008261,"DAB",8,45049.485
"157","IGFS2003",2003,-8.062,56.327,"VIa",0.504726808703562,"BOF",1,45049.485
"171","IGFS2003",2003,-7.753,56.212,"VIa",0.403180857494482,"CUR",1,45049.485
"186","IGFS2003",2003,-7.298,56.213,"VIa",0.348569264391287,"CUR",4,45049.485
"201","IGFS2003",2003,-8.272,56.072,"VIa",0.361195212127771,"BOF",1,45049.485
"219","IGFS2003",2003,-8.217,56,"VIa",0.393958381766523,"COD",1,45049.485
"237","IGFS2003",2003,-7.849,55.981,"VIa",0.438622773509871,"ARG",2,45049.485
"251","IGFS2003",2003,-7.997,55.916,"VIa",0.492564048653122,"DAB",1,45049.485
"265","IGFS2003",2003,-7.745,55.855,"VIa",0.234831180929518,"BOF",1,45049.485
"281","IGFS2003",2003,-7.203,55.693,"VIa",0.243350327208844,"CUR",2,45049.485
"291","IGFS2003",2003,-7.908,55.202,"VIa",0.13388242516695,"DAB",44,45049.485
"298","IGFS2003",2003,-7.688,55.515,"VIa",0.365778121131396,"DGS",1,45049.485
"303","IGFS2003",2003,-8.493,55.387,"VIa",0.448813038842176,"BOF",1,45049.485
"322","IGFS2003",2003,-8.928,54.574,"VIa",0.423586765248655,"CUR",6,45049.485
"342","IGFS2003",2003,-8.815,54.557,"VIa",0.397450182662323,"CUR",3,45049.485
"358","IGFS2003",2003,-8.792,54.493,"VIIb",0.210983971142962,"DAB",451.883,45049.485
"371","IGFS2003",2003,-8.583,54.518,"VIa",0.247247154760085,"DAB",503.076,45049.485
"383","IGFS2003",2003,-8.387,54.575,"VIa",0.298570738235441,"DAB",53.736,45049.485
"392","IGFS2003",2003,-9.692,54.349,"VIIb",0.210117465995796,"BOF",1,45049.485
"401","IGFS2003",2003,-9.42,54.47,"VIIb",0.42498277733606,"BOF",2,45049.485
"420","IGFS2003",2003,-9.69,54.502,"VIa",0.334880283879665,"BOF",4,45049.485
"438","IGFS2003",2003,-9.933,54.292,"VIIb",0.212180244980529,"DAB",238.188,45049.485
"449","IGFS2003",2003,-10.314,54.302,"VIIb",0.5038941164566,"BOF",8,45049.485
"469","IGFS2003",2003,-10.716,53.166,"VIIb",0.537299803247353,"BOF",44.006,45049.485
"483","IGFS2003",2003,-10.926,53.039,"VIIb",0.552734731684766,"BOF",349.891,45049.485
"498","IGFS2003",2003,-10.941,53.078,"VIIb",0.373393008886145,"BOF",56,45049.485
"512","IGFS2003",2003,-11.246,53.214,"VIIb",0.371744326366241,"BOF",416.225,45049.485
"529","IGFS2003",2003,-10.99,53.253,"VIIb",0.406749914303183,"BOF",119.933,45049.485
