"","FID","fldCruiseName","fldPrimeStation","fldGearCode","fldShotDepth","fldHaulDepth","fldCruiseStationNumber","HaulCnt","Gear_Type","SweepLngt","fldICESRectangle","fldValidityCode","fldDateTimeShot","TowDurationMin","fldShotLatDecimalDegrees","fldShotLonDecimalDegrees","fldHaulLatDecimalDegrees","fldHaulLonDecimalDegrees","fldStratum","DoorSpread","fldWingSpread","fldHeadlineHeight","Dist_Nmi","Dist_Km","AreaKmSq","ObsVal","SweepAngle","Warp","Heave_m","Pitch_deg","Roll_deg","WindSpeed_Kts","fldGearDamage","fldStationComment","LoadDate"
"1",1,"IGFS2003","95",101010101,147,147,1,1,"Groundgear_A","Long","36D9","V",2003-10-31 13:49:00,30,53.747,-10.863,53.713,-10.877,"VIIbDeep",122,21,4,2.0996053751625,3.89537175354824,0.475235353932886,"Y",22.7105527692059,"",NA,NA,NA,NA,"Gear:			Smooth GOV, 100m sweeps, all Scanmar sensors except catch sensor
Modifications made:	Pulled crimp on bridle was spliced and short chain extension added
Doors very unstable, increased attack angle needed. VALID HAUL","Gear:			Smooth GOV, 100m sweeps, all Scanmar sensors except catch sensor
Modifications made:	Pulled crimp on bridle was spliced and short chain extension added
Doors very unstable, increased attack angle needed. VALID HAUL",2018-03-13 00:40:05
"2",2,"IGFS2003","MB1",101010101,173,173,2,1,"Groundgear_A","Long","36D8","V",2003-10-31 16:43:00,30,53.811,-11.069,53.842,-11.042,"VIIbDeep",133,23,5,2.09211700813369,3.88147867928328,0.516236664344677,"Y",24.8905418113007,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"3",3,"IGFS2003","26",101020101,95,95,3,1,"Groundgear_D","Long","38E0","V",2003-10-22 09:16:00,31,54.776,-9.649,54.801,-9.604,"VIaMedium",103,20,5,2.16442387148989,4.01562870406288,0.413609756518476,"Y",19.0231020228998,"",NA,NA,NA,NA,"Doors swimming, and spread low, need to take in another link on back-straps. Short lift-off with increase in vessel speed. 
","Doors swimming, and spread low, need to take in another link on back-straps. Short lift-off with increase in vessel speed. 
",2018-03-13 00:40:05
"4",4,"IGFS2003","27",101020101,90,90,4,1,"Groundgear_D","Long","38E0","V",2003-10-22 11:49:00,30,54.967,-9.398,54.996,-9.42,"VIaMedium",97,19,6,1.89849800618955,3.52225975174314,0.341659195919084,"Y",17.8762430604144,"",NA,NA,NA,NA,"Wing end spreads very unstable. 
","Wing end spreads very unstable. 
",2018-03-13 00:40:05
"5",5,"IGFS2003","28",101020101,117,117,5,1,"Groundgear_D","Long","39E0","V",2003-10-22 14:00:00,30,55.109,-9.558,55.119,-9.509,"VIaMedium",102,20,6.5,1.78898594977599,3.31908339476066,0.338546506265587,"Y",18.8314222723458,"",NA,NA,NA,NA,"Headline consistently high, need to give more spread to the doors.","Headline consistently high, need to give more spread to the doors.",2018-03-13 00:40:05
"6",6,"IGFS2003","29",101020101,105,105,6,1,"Groundgear_D","Long","39E0","I",2003-10-22 15:49:00,31,55.157,-9.362,55.192,-9.359,"VIaMedium",100,20,6,2.10270465927156,3.90112181683035,0.390112181683035,"Y",18.4487152303212,"",NA,NA,NA,NA,"10m tear along wing. INVALID HAUL

Benthic Grab and Stationary Vessel Profile taken.
Steamed overnight taking Multi-beam swathes along 3 prospective tows.
","10m tear along wing. INVALID HAUL

Benthic Grab and Stationary Vessel Profile taken.
Steamed overnight taking Multi-beam swathes along 3 prospective tows.
",2018-03-13 00:40:05
"7",7,"IGFS2003","5",101020101,118,118,7,1,"Groundgear_D","Long","40E0","V",2003-10-23 09:05:00,30,55.735,-9.101,55.715,-9.144,"VIaMedium",100,17,6,1.88716705979274,3.50123758774164,0.350123758774164,"Y",18.4487152303212,"",NA,NA,NA,NA,"Overshot known tow, Stability very sensitive to vessel speed. ","Overshot known tow, Stability very sensitive to vessel speed. ",2018-03-13 00:40:05
"8",8,"IGFS2003","6",101020101,105,105,8,1,"Groundgear_D","Long","40E1","V",2003-10-23 11:01:00,30,55.651,-8.912,55.633,-8.875,"VIaMedium",95,17,6,1.65642787676571,3.07315004965808,0.291949254717518,"Y",17.4956212051464,"",NA,NA,NA,NA,"Seemed to come fast halfway through tow, tensions went up on warps, small tear in port wing end, swivel sleeves in groundrope are not surrounded by washers, allowing rubbers to ride up over sleeves and clamp onto chain preventing movement. ","Seemed to come fast halfway through tow, tensions went up on warps, small tear in port wing end, swivel sleeves in groundrope are not surrounded by washers, allowing rubbers to ride up over sleeves and clamp onto chain preventing movement. ",2018-03-13 00:40:05
"9",9,"IGFS2003","R213",101020101,105,105,9,1,"Groundgear_D","Long","40E0","V",2003-10-23 13:28:00,37,55.612,-9.166,55.579,-9.152,"VIaMedium",90,18,6,2.03664498951317,3.77856213267749,0.340070591940974,"Y",16.5474992772596,"",NA,NA,NA,NA,"Another small tear in port wing end. ","Another small tear in port wing end. ",2018-03-13 00:40:05
"10",10,"IGFS2003","R210",101020101,105,105,10,1,"Groundgear_D","Long","39E0","V",2003-10-23 15:40:00,30,55.43,-9.253,55.402,-9.252,"VIaDeep",100,20,6,1.68055677863996,3.11791610137284,0.311791610137284,"Y",18.4487152303212,"",NA,NA,NA,NA,"Nil","Nil",2018-03-13 00:40:05
"11",11,"IGFS2003","R217",101020101,108,108,11,1,"Groundgear_D","Long","39E0","V",2003-10-23 17:00:00,34,55.357,-9.297,55.333,-9.341,"VIaMedium",100,19,5,2.082785512644,3.86416607169574,0.386416607169574,"Y",18.4487152303212,"",NA,NA,NA,NA,"Rockhopper GOV taken from the drum and put in creel, arrangements made to have the net and groundgear sent back to IC trawl to be rebuilt.","Rockhopper GOV taken from the drum and put in creel, arrangements made to have the net and groundgear sent back to IC trawl to be rebuilt.",2018-03-13 00:40:05
"12",12,"IGFS2003","2",101010101,145,145,12,1,"Groundgear_A","Long","41E1","V",2003-10-24 08:34:00,29,56.315,-8.326,56.319,-8.287,"VIaDeep",118,21,6,1.32276944707226,2.45411771256449,0.28958589008261,"Y",21.9265520801114,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"13",13,"IGFS2003","1",101010101,175,175,13,1,"Groundgear_A","Long","41E1","V",2003-10-24 10:18:00,30,56.327,-8.062,56.33,-7.99,"VIaDeep",113,21,5,2.40750221142673,4.46660892658019,0.504726808703562,"Y",20.9525661202979,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
"14",48,"IGFS2003","59",101010101,64,64,48,1,"Groundgear_A","Short","35E0","V",2003-10-31 14:45:00,30,53.033,-9.668,53.052,-9.716,"VIIbCoast",74,19,5,2.07606623875553,3.85169988637389,0.285025791591668,"Y",21.0525039441795,"",NA,NA,NA,NA,"Nil
","Nil
",2018-03-13 00:40:05
