Species,Stock,NameofFile
Boarfish,Boarfish in 6 & 7,igfs_bof.27.6-7_2017.csv
Cod,Cod in 6a,igfs_cod27.6a_2018.csv
Cod,Cod in 7e-k,igfs_cod27.7e-k_2018.csv
Haddock,Haddock in 7 b-k,igfs_had27.7b-k_2018.csv
Hake,Hake in 6 & 7,igfs_hke.27.3a46-8abd_2018.csv
Monkfish (L.budegassa),Monkfish (L.budegassa) in 7,igfs_ldb.27.7b-k8abd_2018.csv
Megrim,Megrim in 7,igfs_meg.27.7b-k8abd_2018.csv
Monkfish (L.piscatorious),Monkfish (L.piscatorious) in 7,igfs_mon.27.78abd_2018.csv
Plaice,Plaice in 7g,igfs_ple27.7g_2018.csv
Sole,Sole in 7 g,igfs_sol27.7g_2018.csv
Whiting,Whiting in 7a,igfs_whg27.6a_2018.csv
Whiting,Whiting in 7b-k,igfs_whg27.7b-k_2018.csv
Elasmobranchs,Elasmobranch Species in 6 & 7,igfs_elasmobranchs_2018.xlsx
Horse Mackerel,Horse Mackerel,igfs_hom.27.2a4a5b6a7a-ce-k8_2017.csv
Mackerel,Mackerel,Igfs_mac.27.nea_2017.csv
