Cod in the West of Scotland VIa Tuning data WGCSE 2018 ,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,
IGFS No/Hr,,,,,,,,,,,,,,,
2003,2017,,,,,,,,,,,,,,
1,1,0.79,0.92,,,,,,,,,,,,
0,6,,,,,,,,,,,,,,
,Age0,Age1,Age2,Age3,Age4,,,,,,,,,,
1,0.0,0.53,0.59,0.00,0.00,,,,,,,,,,
1,0.0,1.20,0.50,0.05,0.00,,,,,,,,,,
1,3.9,0.81,0.44,0.00,0.13,,,,,,,,,,
1,0.0,3.77,0.48,0.00,0.00,,,,,,,,,,
1,0.0,8.24,0.61,0.00,0.05,,,,,,,,,,
1,0.0,1.20,1.29,0.21,0.00,,,,,,,,,,
1,0.0,3.27,0.17,0.22,0.00,,,,,,,,,,
1,0.0,3.25,1.44,0.19,0.14,,,,,,,,,,
1,0.0,1.23,1.20,0.19,0.00,,,,,,,,,,
1,0.0,3.61,0.34,0.15,0.00,,,,,,,,,,
1,0.0,4.26,0.51,0.00,0.00,,,,,,,,,,
1,0.0,5.65,1.00,0.10,0.00,,,,,,,,,,
1,0.0,0.74,0.54,0.15,0.00,,,,,,,,,,
1,0.0,1.67,1.46,0.11,0.00,,,,,,,,,,
1,0.0,0.10,0.83,0.35,0.08,,,,,,,,,,
