IGFS_CURindex,,,,,,
,Year,MgtArea,SppCode,CatchNo,ci_l,ci_u
2005.VIa.CUR,2005,VIa,CUR,4.8441061,1.0945082,8.593704
2006.VIa.CUR,2006,VIa,CUR,3.8582598,2.1297672,5.586752
2007.VIa.CUR,2007,VIa,CUR,5.4216058,2.8941646,7.949047
2008.VIa.CUR,2008,VIa,CUR,2.3398101,1.0423052,3.637315
2009.VIa.CUR,2009,VIa,CUR,3.3767866,1.6771231,5.076450
2010.VIa.CUR,2010,VIa,CUR,4.4714448,2.4553785,6.487511
2011.VIa.CUR,2011,VIa,CUR,2.2464633,0.9902761,3.502650
2012.VIa.CUR,2012,VIa,CUR,3.7282290,1.8433976,5.613060
2013.VIa.CUR,2013,VIa,CUR,4.0816697,1.6890193,6.474320
2014.VIa.CUR,2014,VIa,CUR,3.6654693,0.6774022,6.653536
2015.VIa.CUR,2015,VIa,CUR,0.9811315,0.2399808,1.722282
2016.VIa.CUR,2016,VIa,CUR,5.8287181,2.7965644,8.860872
2017.VIa.CUR,2017,VIa,CUR,2.9562974,1.3622834,4.550311
,,,,,,
IGFS_DGSindex,,,,,,
,Year,MgtArea,SppCode,CatchNo,ci_l,ci_u
2005.ICES.27.6-7.DGS,2005,ICES.27.6-7,DGS,16.587295,-12.2922999,45.466890
2006.ICES.27.6-7.DGS,2006,ICES.27.6-7,DGS,2.548915,1.4496644,3.648166
2007.ICES.27.6-7.DGS,2007,ICES.27.6-7,DGS,2.028145,1.1852369,2.871053
2008.ICES.27.6-7.DGS,2008,ICES.27.6-7,DGS,1.798615,0.7740472,2.823182
2009.ICES.27.6-7.DGS,2009,ICES.27.6-7,DGS,1.470672,0.7474612,2.193883
2010.ICES.27.6-7.DGS,2010,ICES.27.6-7,DGS,2.496080,0.1854042,4.806756
2011.ICES.27.6-7.DGS,2011,ICES.27.6-7,DGS,2.496552,0.4213284,4.571777
2012.ICES.27.6-7.DGS,2012,ICES.27.6-7,DGS,8.662153,0.5591273,16.765179
2013.ICES.27.6-7.DGS,2013,ICES.27.6-7,DGS,8.803442,-4.6161855,22.223070
2014.ICES.27.6-7.DGS,2014,ICES.27.6-7,DGS,2.530268,0.9719908,4.088545
2015.ICES.27.6-7.DGS,2015,ICES.27.6-7,DGS,7.718605,2.8588225,12.578388
2016.ICES.27.6-7.DGS,2016,ICES.27.6-7,DGS,19.120781,0.4257109,37.815851
,,,,,,
IGFS_SKTsindex,,,,,,
,Year,MgtArea,SppGrp,CatchNo,ci_l,ci_u
2005.VI&VII.SKTs,2005,VI&VII,SKTs,0.2654477,0.0978946,0.4330008
2006.VI&VII.SKTs,2006,VI&VII,SKTs,0.1140407,0.0256568,0.2024246
2007.VI&VII.SKTs,2007,VI&VII,SKTs,0.3120115,0.1242506,0.4997723
2008.VI&VII.SKTs,2008,VI&VII,SKTs,0.4321148,0.2204962,0.6437335
2009.VI&VII.SKTs,2009,VI&VII,SKTs,0.8390097,0.4527484,1.2252709
2010.VI&VII.SKTs,2010,VI&VII,SKTs,0.4988992,0.2774577,0.7203407
2011.VI&VII.SKTs,2011,VI&VII,SKTs,0.5766103,0.3073365,0.8458840
2012.VI&VII.SKTs,2012,VI&VII,SKTs,0.5655141,0.2598941,0.8711341
2013.VI&VII.SKTs,2013,VI&VII,SKTs,0.6096227,0.2806339,0.9386115
2014.VI&VII.SKTs,2014,VI&VII,SKTs,1.1398895,0.7005150,1.5792640
2015.VI&VII.SKTs,2015,VI&VII,SKTs,0.8947381,0.4865664,1.3029099
2016.VI&VII.SKTs,2016,VI&VII,SKTs,18.2345111,-15.1848323,51.6538545
2017.VI&VII.SKTs,2017,VI&VII,SKTs,1.0562023,0.6183898,1.4940148
,,,,,,
IGFS_BLRindex,,,,,,
,Year,MgtArea,SppCode,CatchNo,ci_l,ci_u
2005.VIIa&VIIg.BLR,2005,VIIa&VIIg,BLR,0.2635269,-0.1019454,0.6289991
2006.VIIa&VIIg.BLR,2006,VIIa&VIIg,BLR,0.0920468,-0.0883616,0.2724553
2007.VIIa&VIIg.BLR,2007,VIIa&VIIg,BLR,0.8824066,-0.1951313,1.9599445
2008.VIIa&VIIg.BLR,2008,VIIa&VIIg,BLR,1.3885025,-0.4761739,3.2531789
2009.VIIa&VIIg.BLR,2009,VIIa&VIIg,BLR,0.0000000,0.0000000,0.0000000
2010.VIIa&VIIg.BLR,2010,VIIa&VIIg,BLR,1.4513647,0.0567433,2.8459860
2011.VIIa&VIIg.BLR,2011,VIIa&VIIg,BLR,0.7573501,-0.7270288,2.2417289
2012.VIIa&VIIg.BLR,2012,VIIa&VIIg,BLR,0.1404377,-0.0540213,0.3348966
2013.VIIa&VIIg.BLR,2013,VIIa&VIIg,BLR,1.6177252,-0.5998742,3.8353246
2014.VIIa&VIIg.BLR,2014,VIIa&VIIg,BLR,0.7608184,-0.0146900,1.5363267
2015.VIIa&VIIg.BLR,2015,VIIa&VIIg,BLR,1.0456597,0.0092035,2.0821159
2016.VIIa&VIIg.BLR,2016,VIIa&VIIg,BLR,1.4412289,0.3202538,2.5622040
2017.VIIa&VIIg.BLR,2017,VIIa&VIIg,BLR,1.4854810,-0.0615617,3.0325236
,,,,,,
IGFS_PTRindex,,,,,,
,Year,MgtArea,SppCode,CatchNo,ci_l,ci_u
2005.ICES.27.f-g.PTR,2005,ICES.27.f-g,PTR,0.0000000,0.0000000,0.0000000
2006.ICES.27.f-g.PTR,2006,ICES.27.f-g,PTR,0.6667149,-0.1610183,1.4944480
2007.ICES.27.f-g.PTR,2007,ICES.27.f-g,PTR,3.0692414,-0.7542804,6.8927631
2008.ICES.27.f-g.PTR,2008,ICES.27.f-g,PTR,1.8193085,-0.2321294,3.8707463
2009.ICES.27.f-g.PTR,2009,ICES.27.f-g,PTR,0.0917271,-0.0880547,0.2715089
2010.ICES.27.f-g.PTR,2010,ICES.27.f-g,PTR,0.5216448,-0.0343498,1.0776394
2011.ICES.27.f-g.PTR,2011,ICES.27.f-g,PTR,0.2628929,-0.0498716,0.5756575
2012.ICES.27.f-g.PTR,2012,ICES.27.f-g,PTR,0.2735120,0.0061302,0.5408937
2013.ICES.27.f-g.PTR,2013,ICES.27.f-g,PTR,0.5393074,-0.0798270,1.1584418
2014.ICES.27.f-g.PTR,2014,ICES.27.f-g,PTR,0.8696946,-0.1156363,1.8550256
2015.ICES.27.f-g.PTR,2015,ICES.27.f-g,PTR,1.1319436,-0.1642085,2.4280956
2016.ICES.27.f-g.PTR,2016,ICES.27.f-g,PTR,2.0766959,-0.2061304,4.3595223
2017.ICES.27.f-g.PTR,2017,ICES.27.f-g,PTR,1.4881776,-0.8306181,3.8069734
,,,,,,
IGFS_SDRindex,,,,,,
