IrGFS : Irish Groundfish Survey (IBTS 4th Qtr) - Megrim 7 standardisded index used by WGBIE,,,,,,,,,,,,,,,
2003,2017,,,,,,,,,,,,,,
1,1,0.79,0.92,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,
Effort (hrs),Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,,,,,
100,0,152,316,368,238,96,36,14,5,2,2003,,,,
100,0,153,416,595,454,162,57,30,12,3,2004,,,,
100,29,414,643,431,370,215,68,44,18,17,2005,,,,
100,44,505,548,481,215,154,68,10,7,5,2006,,,,
100,1,100,293,125,91,70,25,7,7,3,2007,,,,
100,5,140,481,349,101,66,60,17,12,5,2008,,,,
100,3,1,234,371,455,346,159,53,44,23,2009,,,,
100,6,1,128,377,259,173,90,38,13,10,2010,,,,
100,5,2,121,333,331,144,69,40,25,30,2011,,,,
100,4,24,141,140,108,52,36,16,9,33,2012,,,,
100,9,31,132,93,83,58,30,10,8,22,2013,,,,
100,40,62,143,106,56,57,52,22,23,17,2014,,,,
100,26,127,149,154,57,44,30,16,10,7,2015,,,,
100,28,211,370,207,108,83,75,37,27,39,2016,,,,
100,20,213,273,113,52,32,24,11,22,29,2017,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
