IrGFS : Irish Groundfish Survey (IBTS 4th Qtr) - Plaice 7.g number at age,,,,,,,,,,,,,,,
2003,2017,,,,,,,,,,,,,,
1,1,0.79,0.92,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,
Effort (hrs),Age1,Age2,Age3,Age4,Age5,Age6,Age7,,,,,,,,
832,0,45,84,37,8,3,1,2003,,,,,,,
980,2,6,31,51,20,13,1,2004,,,,,,,
845,39,63,83,19,9,3,3,2005,,,,,,,
1046,3,105,80,22,18,11,12,2006,,,,,,,
1168,2,51,166,68,22,9,8,2007,,,,,,,
1139,7,113,106,72,19,8,5,2008,,,,,,,
1018,213,199,548,247,100,21,16,2009,,,,,,,
1381,233,871,304,479,197,84,23,2010,,,,,,,
1392,250,1150,701,195,210,84,107,2011,,,,,,,
1470,358,992,901,277,50,49,71,2012,,,,,,,
1439,37,386,894,473,173,47,148,2013,,,,,,,
1487,9,195,354,336,151,84,54,2014,,,,,,,
1236,16,778,580,267,312,61,102,2015,,,,,,,
1438,27,332,805,333,221,215,101,2016,,,,,,,
1233,17,236,264,267,222,76,95,2017,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
