metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg,fldShotLatDecimalDegrees,fldShotLonDecimalDegrees,fldHaulLatDecimalDegrees,fldHaulLonDecimalDegrees,Gear_Type,TowDurationMin,AreaKmSq
WKSTN142_09122010,00:00.0,2010,12,Celtic Explorer,19,NoFishingGround,IGFS2010,155,Catch,Male,34,1,0.028766431,51.099,-8.785,51.099,-8.837,Groundgear_A,30,0.406503638
MI307417_24112012,00:00.0,2012,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2012,93,Catch,Male,39,4,0.172164965,50.617,-7.606,50.65,-7.618,Groundgear_A,30,0.424637433
MI307435_29112012,00:00.0,2012,11,Celtic Explorer,19,NoFishingGround,IGFS2012,116,Catch,Male,37,1,0.03701222,51.432,-8.327,51.419,-8.277,Groundgear_A,30,0.375138663
D6MF0R0J17_10112007,00:00.0,2007,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2007,121,Catch,Male,31,49,1.005073476,50.65,-7.617,50.618,-7.606,Groundgear_A,30,0.408105266
MI3073118_11122011,00:00.0,2011,12,Celtic Explorer,17,Aran,IGFS2011,160,Catch,Male,24,2,0.017951501,53.056,-10.182,53.088,-10.193,Groundgear_A,30,0.448407991
D6MF0R0J64_20112008,00:00.0,2008,11,Celtic Explorer,22,Smalls,IGFS2008,153,Catch,Male,33,23,0.578064578,51.218,-6.337,51.25,-6.333,Groundgear_A,30,0.3749585
TOUGHBOOK1116_06112003,00:00.0,2003,11,Celtic Explorer,19,NoFishingGround,IGFS2003,56,Catch,Male,34,2,0.053044134,52.032,-10.931,52.011,-10.942,Groundgear_A,30,0.294672148
MI307391_19112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,83,Catch,Male,31,28,0.581100205,50.641,-8.204,50.623,-8.246,Groundgear_A,30,0.433571232
MI3058135_07112013,00:00.0,2013,11,Celtic Explorer,22,Smalls,IGFS2013,93,Catch,Male,30,3,0.056448306,51.386,-6.374,51.417,-6.358,Groundgear_A,30,0.429106534
TOUGHBOOK1144_26112003,00:00.0,2003,11,Celtic Explorer,15,W Irish Sea,IGFS2003,136,Catch,Male,37,4,0.144595766,53.783,-5.907,53.754,-5.912,Groundgear_A,30,0.259561165
