metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg
WKSTN142_09122010,00:00.0,2010,12,Celtic Explorer,19,NoFishingGround,IGFS2010,155,Catch,Male,34,1,0.028766431
MI307417_24112012,00:00.0,2012,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2012,93,Catch,Male,39,4,0.172164965
MI307435_29112012,00:00.0,2012,11,Celtic Explorer,19,NoFishingGround,IGFS2012,116,Catch,Male,37,1,0.03701222
D6MF0R0J17_10112007,00:00.0,2007,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2007,121,Catch,Male,31,49,1.005073476
MI3073118_11122011,00:00.0,2011,12,Celtic Explorer,17,Aran,IGFS2011,160,Catch,Male,24,2,0.017951501
D6MF0R0J64_20112008,00:00.0,2008,11,Celtic Explorer,22,Smalls,IGFS2008,153,Catch,Male,33,23,0.578064578
TOUGHBOOK1116_06112003,00:00.0,2003,11,Celtic Explorer,19,NoFishingGround,IGFS2003,56,Catch,Male,34,2,0.053044134
MI307391_19112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,83,Catch,Male,31,28,0.581100205
MI3058135_07112013,00:00.0,2013,11,Celtic Explorer,22,Smalls,IGFS2013,93,Catch,Male,30,3,0.056448306
TOUGHBOOK1144_26112003,00:00.0,2003,11,Celtic Explorer,15,W Irish Sea,IGFS2003,136,Catch,Male,37,4,0.144595766
TOUGHBOOK114_24102005,00:00.0,2005,10,Celtic Explorer,19,Cork Channels,IGFS2005,16,Catch,Female,24,5,0.045283481
TOUGHBOOK126_31102005,00:00.0,2005,10,Celtic Explorer,19,Galley Ground 4,IGFS2005,42,Catch,Female,31,1,0.018622963
3DYAA01482140_12112004,00:00.0,2004,11,Celtic Explorer,15,W Irish Sea,IGFS2004,132,Catch,Male,17,10,0.031420067
MI3058141_13112013,00:00.0,2013,11,Celtic Explorer,19,Galley Ground 4,IGFS2013,111,Catch,Female,28,1,0.0145929
TOUGHBOOK1139_20112003,00:00.0,2003,11,Celtic Explorer,19,NoFishingGround,IGFS2003,107,Catch,Male,31,1,0.021083758
MI3073110_01122011,00:00.0,2011,12,Celtic Explorer,19,NoFishingGround,IGFS2011,132,Catch,Male,39,2,0.085234281
TOUGHBOOK1136_19112003,00:00.0,2003,11,Celtic Explorer,22,NoFishingGround,IGFS2003,104,Catch,Male,24,33,0.304558201
TOUGHBOOK1135_19112003,00:00.0,2003,11,Celtic Explorer,22,Smalls,IGFS2003,102,Catch,Male,28,20,0.298192322
D6MF0R0J12_27092007,00:00.0,2007,9,Celtic Explorer,99,E Stanton,IGFS2007,23,Catch,Female,36,1,0.030766902
TOUGHBOOK212_09112006,00:00.0,2006,11,Celtic Explorer,16,NoFishingGround,IGFS2006,96,Catch,Male,36,2,0.06409564
D6MF0R0J36_27102008,00:00.0,2008,10,Celtic Explorer,17,Aran,IGFS2008,53,Catch,Male,21,2,0.012498481
WKSTN17_28092011,00:00.0,2011,9,Celtic Explorer,99,NoFishingGround,IGFS2011,15,Catch,Male,35,2,0.058628748
MI46381_02122014,00:00.0,2014,12,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2014,124,CATCH,Male,50,3,0.281336389
MI307477_01122014,00:00.0,2014,12,Celtic Explorer,22,Smalls,IGFS2014,120,Catch,Male,42,1,0.054366671
TOUGHBOOK1138_19112003,00:00.0,2003,11,Celtic Explorer,22,NoFishingGround,IGFS2003,105,Catch,Male,46,1,0.071380435
WKSTN115_22112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,82,Catch,Male,17,1,0.003331499
MI307398_27112011,00:00.0,2011,11,Celtic Explorer,19,Galley Ground 4,IGFS2011,119,Catch,Male,45,1,0.069089429
TOUGHBOOK128_01112005,00:00.0,2005,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2005,47,Catch,Female,32,9,0.188117701
MI3073120_12122011,00:00.0,2011,12,Celtic Explorer,17,Galway bay,IGFS2011,163,Catch,Female,15,1,0.002231807
WKSTN116_23112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,83,Catch,Male,43,8,0.46650823
MI307489_03122014,00:00.0,2014,12,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2014,132,Catch,Male,41,13,0.640332638
TOUGHBOOK122_29102005,00:00.0,2005,10,Celtic Explorer,22,Smalls,IGFS2005,32,Catch,Male,22,5,0.03526903
MI3073109_01122011,00:00.0,2011,12,Celtic Explorer,19,Galley Ground 1,IGFS2011,131,Catch,Male,26,12,0.141873821
TOUGHBOOK1144_26112003,00:00.0,2003,11,Celtic Explorer,15,W Irish Sea,IGFS2003,136,Catch,Male,27,28,0.373034084
TOUGHBOOK1117_07112003,00:00.0,2003,11,Celtic Explorer,19,Kenmare Bay,IGFS2003,61,Catch,Female,13,6,0.009365242
WKSTN113_07112009,00:00.0,2009,11,Celtic Explorer,22,Smalls,IGFS2009,99,Catch,Male,22,2,0.013611072
TOUGHBOOK221_19112006,00:00.0,2006,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2006,138,Catch,Male,31,2,0.039603662
MI307471_27112014,00:00.0,2014,11,Celtic Explorer,19,NoFishingGround,IGFS2014,105,Catch,Male,28,5,0.073490295
MI307392_20112011,00:00.0,2011,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2011,84,Catch,Female,21,3,0.017561558
WKSTN123_25112010,00:00.0,2010,11,Celtic Explorer,19,NoFishingGround,IGFS2010,94,Catch,Male,23,5,0.041020084
3DYAA01482123_13102004,00:00.0,2004,10,Celtic Explorer,19,Galley Ground 4,IGFS2004,94,Catch,Female,24,1,0.00866876
TOUGHBOOK228_23112006,00:00.0,2006,11,Celtic Explorer,19,NoFishingGround,IGFS2006,154,Catch,Female,23,1,0.008375534
MI307414_21112012,00:00.0,2012,11,Celtic Explorer,22,Smalls,IGFS2012,85,Catch,Male,36,16,0.526869735
D6MF0R0J29_20112007,00:00.0,2007,11,Celtic Explorer,19,NoFishingGround,IGFS2007,163,Catch,Male,28,1,0.014170219
TOUGHBOOK116_25102005,00:00.0,2005,10,Celtic Explorer,19,NoFishingGround,IGFS2005,20,Catch,Male,35,2,0.060848768
WKSTN119_23112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,86,Catch,Male,27,8,0.107231636
TOUGHBOOK224_21112006,00:00.0,2006,11,Celtic Explorer,22,Smalls,IGFS2006,146,Catch,Male,33,3,0.074262089
TOUGHBOOK231_24112006,00:00.0,2006,11,Celtic Explorer,19,Cork Channels,IGFS2006,163,Catch,Female,31,1,0.01967936
3DYAA01482140_12112004,00:00.0,2004,11,Celtic Explorer,15,W Irish Sea,IGFS2004,132,Catch,Female,26,2,0.022401278
MI307433_29112012,00:00.0,2012,11,Celtic Explorer,19,NoFishingGround,IGFS2012,115,Catch,Male,39,3,0.126404948
MI3073123_12122011,00:00.0,2011,12,Celtic Explorer,17,Galway bay,IGFS2011,166,Catch,Male,40,1,0.047198216
WKSTN133_21112009,00:00.0,2009,11,Celtic Explorer,17,Aran,IGFS2009,152,Catch,Male,21,8,0.048028262
MI307484_03122014,00:00.0,2014,12,Celtic Explorer,2021,Banana,IGFS2014,128,Catch,Male,28,1,0.014579243
MI307411_19112012,00:00.0,2012,11,Celtic Explorer,19,Galley Ground 2,IGFS2012,76,Catch,Male,43,4,0.231363371
D6MF0R0J23_16112007,00:00.0,2007,11,Celtic Explorer,22,Smalls,IGFS2007,143,Catch,Male,49,3,0.266307889
D6MF0R0J48_10112008,00:00.0,2008,11,Celtic Explorer,19,NoFishingGround,IGFS2008,115,Catch,Male,24,2,0.018322764
MI3073117_11122011,00:00.0,2011,12,Celtic Explorer,17,Slyne head,IGFS2011,159,Catch,Female,37,1,0.031245418
MI307383_17112011,00:00.0,2011,11,Celtic Explorer,22,Smalls,IGFS2011,73,Catch,Male,40,2,0.092086958
WKSTN117_23112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,84,Catch,Male,49,1,0.09028524
MI307466_24112014,00:00.0,2014,11,Celtic Explorer,19,NoFishingGround,IGFS2014,94,Catch,Male,33,2,0.051807222
WKSTN132_28112010,00:00.0,2010,11,Celtic Explorer,22,Banana,IGFS2010,113,Catch,Male,18,4,0.015509525
MI307483_02122014,00:00.0,2014,12,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2014,127,Catch,Male,37,6,0.215502322
D6MF0R0J23_16112007,00:00.0,2007,11,Celtic Explorer,22,Smalls,IGFS2007,143,Catch,Female,23,9,0.071610004
TOUGHBOOK1130_16112003,00:00.0,2003,11,Celtic Explorer,19,NoFishingGround,IGFS2003,90,Catch,Male,27,4,0.053806006
WKSTN119_12112009,00:00.0,2009,11,Celtic Explorer,2021,NoFishingGround,IGFS2009,120,Catch,Male,39,1,0.041145552
WKSTN129_28112010,00:00.0,2010,11,Celtic Explorer,22,Smalls,IGFS2010,110,Catch,Male,38,7,0.274400655
WKSTN117_23112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,84,Catch,Female,16,2,0.005864293
D6MF0R0J26_17112007,00:00.0,2007,11,Celtic Explorer,2021,Banana,IGFS2007,147,Catch,Male,28,1,0.015387215
TOUGHBOOK25_28102006,00:00.0,2006,10,Celtic Explorer,99,S Stanton,IGFS2006,42,Catch,Male,30,1,0.016965276
WKSTN14_28092010,00:00.0,2010,9,Celtic Explorer,99,E Stanton,IGFS2010,14,Catch,Male,39,15,0.622272436
MI3058140_10112013,00:00.0,2013,11,Celtic Explorer,19,NoFishingGround,IGFS2013,98,Catch,Male,39,1,0.042544927
MI307448_30092014,00:00.0,2014,9,Celtic Explorer,12,NoFishingGround,IGFS2014,30,Catch,Female,28,1,0.012710419
D6MF0R0J57_18112008,00:00.0,2008,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2008,145,Catch,Female,22,14,0.095528793
MI307449_03102014,00:00.0,2014,10,Celtic Explorer,99,NoFishingGround,IGFS2014,44,Catch,Male,30,1,0.016808446
3DYAA01482137_11112004,00:00.0,2004,11,Celtic Explorer,15,W Irish Sea,IGFS2004,129,Catch,Female,19,29,0.13165147
3DYAA01482138_11112004,00:00.0,2004,11,Celtic Explorer,15,W Irish Sea,IGFS2004,128,Catch,Female,20,3,0.015352746
MI3073102_28112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,124,Catch,Male,47,1,0.077936339
MI307414_21112012,00:00.0,2012,11,Celtic Explorer,22,Smalls,IGFS2012,85,Catch,Male,51,2,0.197258979
WKSTN120_11112009,00:00.0,2009,11,Celtic Explorer,2021,NoFishingGround,IGFS2009,121,Catch,Male,42,1,0.053432228
WKSTN114_22112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,81,Catch,Male,27,26,0.343786467
MI307422_25112012,00:00.0,2012,11,Celtic Explorer,2021,NoFishingGround,IGFS2012,98,Catch,Female,24,1,0.009476272
MI3073113_05122011,00:00.0,2011,12,Celtic Explorer,19,Bantry Bay,IGFS2011,137,Catch,Male,33,28,0.69931593
TOUGHBOOK2127_19112006,00:00.0,2006,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2006,136,Catch,Male,24,30,0.275453492
TOUGHBOOK1145_26112003,00:00.0,2003,11,Celtic Explorer,15,W Irish Sea,IGFS2003,137,Catch,Female,17,2,0.006550336
TOUGHBOOK1136_19112003,00:00.0,2003,11,Celtic Explorer,22,NoFishingGround,IGFS2003,104,Catch,Female,14,1,0.001771658
TOUGHBOOK1129_16112003,00:00.0,2003,11,Celtic Explorer,19,NoFishingGround,IGFS2003,89,Catch,Male,34,8,0.220535864
WKSTN123_14112009,00:00.0,2009,11,Celtic Explorer,19,Cork Channels,IGFS2009,126,Catch,Male,42,2,0.104500176
WKSTN132_28112010,00:00.0,2010,11,Celtic Explorer,22,Banana,IGFS2010,113,Catch,Male,42,5,0.273294772
WKSTN111_07112009,00:00.0,2009,11,Celtic Explorer,22,Smalls,IGFS2009,97,Catch,Male,45,1,0.067796477
MI3058141_13112013,00:00.0,2013,11,Celtic Explorer,19,Galley Ground 4,IGFS2013,111,Catch,Female,39,1,0.035592519
MI3073108_01122011,00:00.0,2011,12,Celtic Explorer,19,Galley Ground 2,IGFS2011,130,Catch,Female,28,77,1.07539112
WKSTN117_08112009,00:00.0,2009,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2009,104,Catch,Male,28,1,0.014996319
WKSTN110_06112009,00:00.0,2009,11,Celtic Explorer,22,Smalls,IGFS2009,95,Catch,Female,27,3,0.038632366
